ITEM #,COUNT,VESSEL NAME,FIRST OIL MONTH,FIRST OIL YEAR,FPSO OWNER,FPSO OPERATOR,FIELD OPERATOR (MAJORITY),"1.0- FOO/FOM, 2=FOO/CM, 3. CO/CM, 4. CO/FOM",LEASED (L) FPSO (CONTRACTOR OWNED),CURRENT LEASE PERIOD (YRS.),OPERATING WATER DEPTH (M),FIELD or LOCATION,COUNTRY,REGION,RESERVES (MMBOE),TOPSIDES DETAILING ENG.,HULL DETAIL ENG.,GENERAL CONTRACTOR (EPCI),TOPSIDES FAB YARD,NEW BUILD HULL FAB YARD,CONVERSION / INTEGRATION,REPAIR,TURRET SUPPLIER/SWIVEL MANUFACTURER,TOTAL WELLS,PRODUCTION WELLS,GAS INJECTION WELLS,WATER INJECTION WELLS,CLASSIFICATION,LENGTH (M),BREADTH (M),DEPTH (M),MAX OPERATING DRAFT (M),"HULL CONSTRUCTION DH-DOUBLE HULL, SH-SINGLE HULL, DS-DOUBLE SIDED",DEADWEIGHT (DWT) (Tonnes),CONSTRUCTION TYPE (CONVERSION or NEWBUILD),ORIGINAL HULL FABRICATION YEAR,LATEST INTEGRATION/ UPGRADE YEAR,MAX OIL PRODUCTION (MBOPD),GAS PROCESSING (MMscfd),EQUIVALENT THROUGHPUT (MBOE/D),GAS INJECTION (MMscfd),GAS EXPORT & GAS LIFT (MMscfd),MAX WATER PRODUCTION (MBPD),PRODUCED WATER (MBWPD),WATER INJECTION (MBWPD),STORAGE CAPACITY (MBBLs),TOTAL RISERS,QUARTERS CAPACITY (PEOPLE),"GAS DEPOSITION
F-FLARED, S-SALES, L-LIFT","TYPE OF FLARE
FB-FLARE BOOM OR FLARE TOWER,
GF-GROUND FLARE, FF-FLOATING FLARE","OFFLOADING SYSTEM
TS-TANDEM STERN, TB-TANDEM BOW, TC-TO CALM BUOY, SS-SIDE BY SIDE","MOORING SYSTEM TYPE IT-INTERNAL TURRET, ET-EXTERNAL TURRET, SM-SPREAD MOORED, RTM- RISER TURRET MOORING, SALS-SINGLE ANCHOR LEG SYSTEM, CALM-CATENARY ANCHOR LEG MOORING, JSY-JACKET SOFT YOKE, DP - DYNAMIC POSITIONING, STP - SUBMERGED TURRET PRODUCTION, S- STEEL",PERMANENT or DISCONNECTABLE,NUMBER OF ANCHOR LEGS,ITEM #
11,1,GREATER PLUTONIO,10,2007,BP,BP,BP,1,,,"1,200","Block 18: Paladio, Plutonio, Platino, Galio, Cromio, Cobalto",Angola,W Africa,"1,166",KBR,HHI,,HHI,HHI,HHI,,,43,20,3,20,BV,310,58,32,,DS,"360,000",N,2007,,155,190,187,90,,205,60,250,950,24,75,I,FB,TS,IT,P,14,11
12,1,PSVM FPSO,12,2012,BP,BP,BP,1,,,"2,000","Block 31: Plutão, Saturno, Venus, Marte",Angola,W Africa,,Toyo,MODEC,MODEC,Dyna-Mac,,Jurong,Jurong,SOFEC,40,22,2,16,ABS,318,57,32,23,DH,"296,200",C,1996,2011,157,245,198,120,60,195,195,300,"2,000",18,140,LS,FT,TS,ET,P,12,12
13,1,SKARV FPSO,12,2012,BP,BP,BP,1,,,400,Skarv,Norway,N Sea,385,Aker Solutions,Aker Solutions,,Samsung,Samsung,Samsung,,,16,,,,DNV,295,51,20,,,"129,000",N,2010,,85,670,197,,,,,,875,13,100,S,FB,TS,,,15,13
14,1,ARMADA KRAKEN,6,2017,Bumi Armada/Enquest,Bumi Armada,Enquest,3,L,8,110,Kraken,UK,N Sea,140,,,,,,Keppel,,,,,,,,285,50,,17,,"166,546",C,2007,2016,80,20,83,,,,,275,600,,90,,,,IT,,,14
15,1,ARMADA OLOMBENDO,2,2017,Bumi Armada,Bumi Armada,ENI,3,L,10,500,East Hub 15/06,Angola,W Africa,,,,,,,Keppel,,,9,,,,ABS,335,58,,12,,"301,963",C,1999,2016,80,120,100,,,,,120,"1,700",,100,,,,ET,,,15
16,1,ARMADA PERDANA,12,2009,Bumi Armada,Bumi Armada,ALLIED,3,L,,350,Oyo,Nigeria,W Africa,n/a,DPS,Bumi Armada Engineering,Bumi Armada Navigation,Keppel,,Keppel,,,3,2,1,,ABS,308,46,23,17,SH,"156,483",C,1984,2009,40,60,50,60,,9,2,15,"1,100",4,87,F,FB,SS,SM,P,12,16
17,1,ARMADA PERKASA,5,2008,Bumi Armada,Bumi Armada,Afren/Amni,3,L,,15,Okoru Setu Field,Nigeria,W Africa,,Sc+N182+P18,KMV,Bumi Armada Berhad,Hug Seng,,Keppel,Keppel,,7,,,,ABS,201,32,18,13,SH,"58,126",C,1975,2008,30,,30,,18,20,,,298,3,87,F,FB,TB/TS,SM,P,10,17
18,1,ARMADA STERLING,3,2013,Bumi Armada,Bumi Armada,ONGC,3,L,,91,D-1,In,Others,,Bumi Armada Engineering,Bumi Armada Engineering,,Dyna-mac,,Keppel,,,,,,,ABS,247,42,21,15,DH,"110,810",C,1997,2012,60,,60,,,,,,580,6,70,F,FB,TS,IT,P,9,18
19,1,ARMADA STERLING II,2,2015,Bumi Armada,Bumi Armada,ONGC,3,L,,,D-1,In,Others,,Bumi Armada Engineering,Bumi Armada Engineering,SPCPL,Dynamac,,Keppel,,,,,,,ABS,247,42,21,,DH,"97,306",C,1999,2014,27,,27,,,,,25,510,,77,,FT,,IT,P,,19
20,1,ARMADA TGT1 (PERWIRA),8,2011,Bumi Armada,Bumi Armada,Hoang Long Joint Operating Co.,3,L,,47,Te Giac Trang,Vietnam,SCS,,Bumi Armada Engineering,Bumi Armada Engineering,Bumi Armada Berhad,Dyna-mac,,Keppel,,,,,,,ABS,336,48,23,14,DH,"112,323",C,1996,2011,55,,55,,100,,74,,620,10,100,F,,TS,ET,P,1,20
21,1,KARAPAN STERLING III,12,2016,Bumi Armada,Bumi Armada,CNOOC,3,L,10,55,Madura BD,Indonesia,SCS,,,,,,,Keppel,,,,,,,,,,,,,"107,160",C,,2016,75,110,93,,,,,,370,,80,,,,SM,P,12,21
22,1,ABO,8,2003,BW Offshore,BW Offshore,ENI,3,L,20,550,Abo,Nigeria,W Africa,82,BW Offshore,BW Offshore,BW Offshore,GSI,,Keppel,,,9,5,2,2,DNV,269,54,20,15,DS,"155,612",C,1976,2002,44,48,52,46,,11,6,33,930,8,66,I,FB,TS,SM,P,12,22
23,1,BERGE HELENE,2,2006,BW Offshore,BW Offshore,Petronas,3,L,11,694,Chinguetti Field,Mauritania,Others,125,ABB,Inocean,BW Offshore,ABB,,Keppel,,"APL, Sembawang",12,6,1,4,ABS,349,52,27,22,SH,"278,734",C,1976,2005,75,54,84,73,,,90,100,"2,000",11,100,"F, I",FT,T,ET,P,12,23
24,1,BW CATCHER,2H,2017,BW Offshore,BW Offshore,Premier Oil,3,L,7,91,Catcher,UK,N Sea,,Aibel,BW Offshore,BW Offshore,Keppel,IHI,,,NOV/APL,22,14,,8,DNV,240,50,27,,DH,"130,000",N,,,60,60,70,,,,,125,650,,,,FB,,IT,,,24
25,1,BW CIDADE DE SAO VICENTE,3,2009,BW Offshore,BW Offshore,Petrobras,3,L,10,"2,200","Early production, various fields - incl. Sapinhoa, Lula",Brazil,Brazil,"2,000",M7 Offshore,Inocean,BW Offshore,,,Keppel,,SOFEC,3,3,,,DNV,254,44,23,14,SH,"135,510",C,1975,2009,30,30,35,18,,14,,,470,4,80,"F,S",FB,TB,ET,D,7,25
26,1,BW JOKO TOLE,6,2012,BW Offshore,BW Offshore,Kangean Energy Indonesia,3,L,10,300,Terang Sirasun Batur,Indonesia,SCS,119,VME,,,,,Sembawang,,,5,5,,,ABS / BKI,247,42,20,,SH,"97,127",C,1988,2011,7,340,64,,,,,,200,5,,F,FB,TB,SM,P,10,26
27,1,BW PIONEER,2,2012,BW Offshore,BW Offshore,Petrobras,3,L,8,"2,600","Cascade, Chinook",US GOM,GOM,500,DPS,Coast Design/Inocean,Technip,Alliance,,Keppel,,APL,4,4,,,DNV,242,42,20,14,SH,"96,828",C,1992,2010,80,16,83,,16,,,,600,5,,"F,S",FB,TS,IT,D,11,27
28,1,ESPOIR IVOIRIEN,2,2002,BW Offshore,BW Offshore,CNRL,3,L,20,120,Espoir,Cote d'Ivoire,W Africa,93,BW Offshore,BW Offshore,BW Offshore,GSI,,Keppel (Tuas),,BW Offshore,12,10,,2,DNV,269,54,20,15,SH,"155,000",C,1975,2001,45,80,58,,,,,60,"1,100",10,66,"S,L",FB,TS,IT,P,6,28
29,1,POLVO,7,2007,BW Offshore,BW Offshore,BP,3,L,11,100,Polvo,Brazil,Brazil,50,ABB,BW Offshore,BW Offshore,Dynamac,,Keppel,,BW Offshore,,,,,ABS,325,55,28,17,SH,"257,272",C,1980,2007,90,8,91,,,135,135,100,"1,600",6,75,F,FB,TS,IT,D,6,29
30,1,SENDJE BERGE,3,2005,BW Offshore,BW Offshore,Addax /Sinopec,3,L,13,140,"Okwori, Okwori South",Nigeria,W Africa,40,ABB,Inocean,BW Offshore,ABB,,Jurong,,,5,4,1,,DNV,350,52,27,22,SH,"274,333",C,1974,2004,50,55,59,55,,,42,,"2,000",9,100,"F, I",FB,T,SM,P,12,30
31,1,UMUROA,7,2007,BW Offshore,BW Offshore,AWE,3,L,10,120,Tui,New Zealand,Aust,700,ABB,BW Offshore,BW Offshore,Dynamac,,Keppel (Tuas),,BW Offshore,4,4,,,DNV,232,46,23,15,SH,"118,095",C,1980,2007,50,25,54,,25,,118,,775,8,60,"F, L",FB,TS,IT,D,9,31
32,1,YUUM K'AK' NAAB,6,2007,BW Offshore,BW Offshore,PEMEX,3,L,15,100,Ku-Maloob-Zaap,Mexico,GOM,5,,,,,,Sembawang,,APL,,,,,DNV,327,65,32,23,,"360,700",C,1981,2007,200,120,220,,,,,,"2,200",8,110,,,,IT,D,13,32
33,1,P-53,12,2008,CDC,Petrobras,Petrobras,4,L,,"1,080",Marlim Leste,Brazil,Brazil,,,,SBMO,QUIP Consortium,,Keppel,,SBM Offshore,18,9,,9,,346,57,28,22,SH,"322,446",C,1984,2007,180,210,215,,,189,,245,"2,000",75,160,S,FB,,IT,P,9,33
34,1,AGBAMI,7,2008,Chevron,Star Deepwater JV,NNPC,2,,,"1,462","Agbami OPL 216, 217",Nigeria,W Africa,770,KBR,DSME,DSME,DSME,Daewoo,Daewoo,,SBM Offshore,37,20,6,12,ABS,319,58,32,,DH,"337,859",N,2008,,250,212,285,,,,,,"1,800",,,,,,,,,34
35,1,CAPTAIN,12,1996,Chevron,Chevron,Chevron,1,,,104,"Captain A, B, C",UK,N Sea,350,ABB,Astano,ABB/Astano/Technip/UiE,Astano,Astano,Astano,,Seanor,36,16,,5,DNV,214,38,24,18,DH,"115,829",N,1996,,37,,37,,,,,,849,3,60,,FB,TS,ET,P,9,35
36,1,FRADE,6,2009,Chevron,Chevron,Chevron,1,,,"1,080",Frade BC-4,Brazil,Brazil,,SBM Offshore,SBM Offshore,SBM Offshore,Various,,DDD,,SBM Offshore,20,12,,7,ABS,337,55,27,21,SH,"273,500",C,1976,2009,100,106,118,,86,,130,150,"1,861",18,120,"S, L",FB,TS,IT,P,9,36
